### Footprint positions - created on 2026-06-09T16:06:25 ###
### Printed by KiCad version 10.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val             Package                                 PosX       PosY       Rot  Side
C1        100nF           C0603                                95.0000   -88.0000  -90.0000  bottom
C2        100nF           C0603                                97.0000   -88.0000  -90.0000  bottom
C3        100nF           C0603                                99.0000   -88.0000  -90.0000  bottom
H3        PZ254V-12-18P   HDR-TH_18P-P2.54-V-M-R2-C9-S2.54     95.3400   -46.2300  -90.0000  bottom
Q1        S8050           SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR   104.1667   -88.0000  -90.0000  bottom
R1        10k             R0603                               109.2500   -88.0000   90.0000  bottom
R2        10R             R0603                               101.2000   -88.0000   90.0000  bottom
R3        1k              R0603                               107.2500   -88.0000  -90.0000  bottom
C4        0.1uF           C0603                                82.2500   -67.0000    0.0000  top
C5        0.1uF           C0603                                82.2500   -70.5000    0.0000  top
C6        0.1uF           C0603                                82.2500   -63.5000    0.0000  top
R4        4.7K            R0603                                89.7500   -67.0000    0.0000  top
R5        4.7K            R0603                                89.7500   -70.5000    0.0000  top
R6        4.7K            R0603                                89.7500   -63.5000    0.0000  top
SW1       EC11N1525405    EC11_ROTARY_ENCODER                  83.0000   -46.5000    0.0000  top
U1        ST7789_12P_LCD  ST7789_12P_1x12_1.00mm               96.5000  -100.2500  180.0000  top
## End
