+=========================+=======================+====================================================================================================================================================+
| Launch Setup Clock      | Launch Hold Clock     | Pin                                                                                                                                                |
+=========================+=======================+====================================================================================================================================================+
| clk_out2_clk_sys_mmcm   | clk_out2_clk_sys_mmcm | my_ila_jesd_rx/inst/ila_core_inst/shifted_data_in_reg[7][2]_srl8/D                                                                                 |
| clk_out2_clk_sys_mmcm   | clk_out2_clk_sys_mmcm | my_ila_jesd_rx/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[1].U_M/allx_typeA_match_detection.ltlib_v1_0_2_allx_typeA_inst/probeDelay1_reg[0]/D |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/r_rd_en_reg/D                                                                                                                  |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/state_reg[0]/D                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/r_wr_en_reg/D                                                                                                                  |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/state_reg[0]/D                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/state_reg[2]/D                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/r_rd_en_reg/D                                                                                                                  |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/r_wr_en_reg/D                                                                                                                  |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_rd_addr_reg[1]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_rd_addr_reg[3]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/state_reg[2]/D                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/state_reg[2]/R                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/state_reg[0]/S                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/state_reg[1]/R                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_rd_addr_reg[0]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_rd_addr_reg[2]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch1/fifo_wr_done_reg/R                                                                                                             |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/fifo_wr_done_reg/R                                                                                                             |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/state_reg[1]/R                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/state_reg[2]/R                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | jesd_data_parse_ch2/state_reg[0]/S                                                                                                                 |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_addr_reg[2]/CE                                                                                                        |
| clk_out1_clk_sys_mmcm   | clk_out1_clk_sys_mmcm | u_ad9144_awg_reg_bank/cal_wr_data_reg[31]/CE                                                                                                       |
